Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
S25152400020,04/20/2015,2560,Hy-Vee Food Store / Marion,3600 BUSINESS HWY 151 EAST,MARION,52302,"3600 BUSINESS HWY 151 EAST
MARION 52302
",57,Linn,1031080,VODKA 80 PROOF,434,Luxco-St Louis,36308,Hawkeye Vodka,6,1750,$7.17,$10.76,12,$129.12,21.00,5.55
S25803800004,05/22/2015,4984,Fast Ave One Stop,2111 PARK AVE,MUSCATINE,52761,"2111 PARK AVE
MUSCATINE 52761
(41.447149, -91.030306)",70,Muscatine,1012300,IRISH WHISKIES,370,Pernod Ricard USA/Austin Nichols,15626,Jameson,12,750,$14.49,$21.74,2,$43.48,1.50,0.40
S25527700032,05/07/2015,4615,North Side Liquor & Grocery,1303 NORTH FEDERAL AVE,MASON CITY,50401,"1303 NORTH FEDERAL AVE
MASON CITY 50401
(43.163663, -93.201061)",17,Cerro Gordo,1031080,VODKA 80 PROOF,434,Luxco-St Louis,36307,Hawkeye Vodka,12,1000,$4.05,$6.08,12,$72.96,12.00,3.17
S22081200012,10/29/2014,4356,Kum & Go #396 / Nevada,136 LINCOLN HWY,NEVADA,50201,"136 LINCOLN HWY
NEVADA 50201
(42.022725, -93.458003)",85,Story,1041100,AMERICAN DRY GINS,370,Pernod Ricard USA/Austin Nichols,32231,Seagrams Extra Dry Gin Mini,12,500,$3.30,$4.95,1,$4.95,0.50,0.13
S28097300011,09/24/2015,2550,Hy-Vee Food Store / Osceola,510 WEST MCLANE,OSCEOLA,50213,"510 WEST MCLANE
OSCEOLA 50213
(41.030575, -93.772951)",20,Clarke,1011100,BLENDED WHISKIES,65,Jim Beam Brands,22786,Beam's 8 Star Bl Whiskey,12,750,$3.67,$5.51,3,$16.53,2.25,0.59
S25745800062,05/20/2015,3723,J D Spirits Liquor,1023  9TH ST,ONAWA,51040,"1023 9TH ST
ONAWA 51040
(42.025841, -96.095845)",67,Monona,1081380,MISCELLANEOUS SCHNAPPS,55,Sazerac North America,84170,99 Bananas,12,750,$7.80,$11.70,1,$11.70,0.75,0.20
S04507200046,03/12/2012,2248,Ingersoll Liquor and Beverage,3500 INGERSOLL AVE,DES MOINES,50312,"3500 INGERSOLL AVE
DES MOINES 50312
(41.586319, -93.664182)",77,Polk,1011500,STRAIGHT RYE WHISKIES,260,Diageo Americas,27025,Bulleit 95 Rye,12,750,$14.84,$22.26,4,$89.04,3.00,0.79
S22682000022,12/02/2014,4426,LIQUOR AND GROCERY DEPOT,114 CENTRAL ST N Suite 1,MARSHALLTOWN,50158,"114 CENTRAL ST N Suite 1
MARSHALLTOWN 50158
",64,Marshall,1031100,100 PROOF VODKA,434,Luxco-St Louis,36301,Hawkeye Vodka 80 Prf Mini,12,500,$3.73,$5.60,12,$67.20,6.00,1.59
S15220100011,10/17/2013,3651,Wal-Mart 1491 / Indianola,1500 NORTH JEFFERSON,INDIANOLA,50125,"1500 NORTH JEFFERSON
INDIANOLA 50125
(41.375082, -93.558439)",91,Warren,1032080,IMPORTED VODKA,115,"Constellation Wine Company, Inc.",34821,Svedka Vodka,6,1750,$12.28,$18.92,6,$113.52,10.50,2.77
S05894100001,06/06/2012,4475,Bucky's Express #27 / Council Bluffs,2713 S 24TH ST,COUNCIL BLUFFS,51501,"2713 S 24TH ST
COUNCIL BLUFFS 51501
(41.234234, -95.879148)",78,Pottawattamie,1031080,VODKA 80 PROOF,55,Sazerac North America,35318,Barton Vodka,6,1750,$6.87,$10.30,18,$185.40,31.50,8.32
S25753900015,05/20/2015,4681,Spirits & Such,100 E ELM ST,WEST UNION,52175,"100 E ELM ST
WEST UNION 52175
(42.961269, -91.807891)",33,Fayette,1012300,IRISH WHISKIES,65,Jim Beam Brands,15739,2 Gingers,12,750,$12.07,$18.11,2,$36.22,1.50,0.40
